Patient : {{ patient.patient_name }}
Doigt : {{ patient.finger }}
Phalange : {{ patient.phalange }}
Opérateur : {{ patient.operator }}
Date de sauvegarde : 2025-05-23 11:32:20

Temps (mm:ss) F    | Force (N)    | Temps (mm:ss) A    | Amplitude (°)
                   |              | 29:34              | 4.00        
                   |              | 29:34              | 5.00        
                   |              | 29:34              | 4.00        
                   |              | 29:34              | 4.00        
                   |              | 29:35              | 6.00        
                   |              | 29:35              | 7.00        
                   |              | 29:35              | 6.00        
                   |              | 29:35              | 6.00        
                   |              | 29:35              | 4.00        
                   |              | 29:35              | 4.00        
                   |              | 29:35              | 3.00        
                   |              | 29:35              | 1.00        
                   |              | 29:35              | 0.00        
                   |              | 29:36              | 5.00        
                   |              | 29:36              | 4.00        
                   |              | 29:36              | 3.00        
                   |              | 29:36              | 2.00        
                   |              | 29:36              | 2.00        
                   |              | 29:36              | 1.00        
                   |              | 29:36              | 1.00        
                   |              | 29:36              | 0.00        
                   |              | 29:36              | 1.00        
                   |              | 29:36              | 2.00        
                   |              | 29:36              | 2.00        
                   |              | 29:37              | 3.00        
                   |              | 29:37              | 7.00        
                   |              | 29:37              | 7.00        
                   |              | 29:39              | 6.00        
                   |              | 29:39              | 6.00        
                   |              | 29:39              | 7.00        
                   |              | 29:39              | 4.00        
                   |              | 29:39              | 4.00        
                   |              | 29:39              | 5.00        
                   |              | 29:39              | 5.00        
                   |              | 29:39              | 6.00        
                   |              | 29:40              | 6.00        
                   |              | 29:40              | 7.00        
                   |              | 29:40              | 7.00        
                   |              | 29:40              | 6.00        
                   |              | 29:40              | 7.00        
                   |              | 29:41              | 6.00        
                   |              | 29:41              | 6.00        
                   |              | 29:41              | 7.00        
                   |              | 29:41              | 7.00        
                   |              | 29:41              | 6.00        
                   |              | 29:41              | 4.00        
                   |              | 29:41              | 4.00        
                   |              | 29:41              | 5.00        
                   |              | 29:42              | 5.00        
                   |              | 29:42              | 8.00        
                   |              | 29:42              | 8.00        
